adult_weekday,adult_weekend,average_snowfall,base_elev,daysopenlast_year,double,fast_quads,fast_sixes,longest_run_mi,name,night_skiing_ac,projecteddays_open,quad,region,runs,skiable_terrain_ac,snow_making_ac,state,summit_elev,surface,terrain_parks,total_chairs,trams,triple,vertical_drop,years_open,price_delta
65.0,85.0,669.0,250,150.0,0,2,0,1.0,alyeska_resort,550.0,150.0,2,alaska,76.0,1610.0,113.0,alaska,3939,2,2.0,7,1,0,2500,60.0,20.0
47.0,53.0,350.0,1200,45.0,4,0,0,2.0,eaglecrest_ski_area,,90.0,0,alaska,36.0,640.0,60.0,alaska,2600,0,1.0,4,0,0,1540,44.0,6.0
30.0,34.0,69.0,1796,150.0,0,0,0,1.0,hilltop_ski_area,30.0,152.0,0,alaska,13.0,30.0,30.0,alaska,2090,2,1.0,3,0,1,294,36.0,4.0
89.0,89.0,260.0,9200,122.0,1,0,1,2.0,arizona_snowbowl,,122.0,2,arizona,55.0,777.0,104.0,arizona,11500,2,4.0,8,0,2,2300,81.0,0.0
74.0,78.0,250.0,9200,115.0,1,1,0,1.2,sunrise_park_resort,80.0,104.0,2,arizona,65.0,800.0,80.0,arizona,11100,0,2.0,7,0,3,1800,49.0,4.0
47.0,47.0,300.0,7200,110.0,3,0,0,0.4,yosemite_ski_&_snowboard_area,,107.0,0,northern_california,10.0,88.0,,california,7800,1,2.0,5,0,1,600,84.0,0.0
78.0,78.0,350.0,6600,,5,0,0,2.0,dodge_ridge,,140.0,1,sierra_nevada,67.0,862.0,,california,8200,4,5.0,12,0,2,1600,69.0,0.0
75.0,75.0,400.0,7031,163.0,5,0,0,1.5,donner_ski_ranch,,170.0,0,sierra_nevada,52.0,505.0,60.0,california,8012,2,2.0,8,0,1,750,82.0,0.0
149.0,159.0,400.0,7953,243.0,4,9,2,3.0,mammoth_mountain_ski_area,,,1,sierra_nevada,154.0,3500.0,700.0,california,11053,0,7.0,25,3,6,3100,66.0,10.0
49.0,59.0,300.0,5500,140.0,0,0,0,1.1,mt._shasta_ski_park,,130.0,0,sierra_nevada,32.0,425.0,225.0,california,6890,1,2.0,4,0,3,1435,34.0,10.0
84.0,84.0,108.0,6600,118.0,5,2,0,1.6,mountain_high,73.0,150.0,2,sierra_nevada,59.0,290.0,275.0,california,8200,3,1.0,14,0,2,1600,95.0,0.0
69.0,69.0,178.0,6500,175.0,4,0,0,2.5,mt._baldy,,200.0,0,sierra_nevada,26.0,400.0,80.0,california,8600,0,,4,0,0,2100,67.0,0.0
83.0,83.0,300.0,7030,140.0,2,0,0,2.2,ski_china_peak,,144.0,1,sierra_nevada,45.0,1400.0,150.0,california,8709,4,1.0,11,0,4,1679,62.0,0.0
69.0,79.0,160.0,6800,111.0,6,0,0,1.2,snow_valley,164.0,143.0,0,sierra_nevada,28.0,240.0,188.0,california,7841,1,6.0,12,0,5,1041,82.0,10.0
50.0,50.0,400.0,6700,150.0,1,0,0,0.4,soda_springs,,144.0,0,sierra_nevada,18.0,200.0,20.0,california,7352,2,,4,0,1,652,83.0,0.0
125.0,125.0,500.0,6883,151.0,0,5,0,3.0,sugar_bowl_resort,,150.0,3,sierra_nevada,105.0,1650.0,375.0,california,8383,2,3.0,12,1,1,1500,80.0,0.0
69.0,69.0,400.0,6750,150.0,0,0,0,1.0,tahoe_donner,,144.0,1,sierra_nevada,14.0,120.0,,california,7350,3,2.0,5,0,1,600,48.0,0.0
85.0,85.0,350.0,10780,230.0,2,1,0,1.5,arapahoe_basin_ski_area,,233.0,2,colorado,145.0,1428.0,125.0,colorado,13050,3,3.0,9,0,1,2530,73.0,0.0
179.0,179.0,300.0,8104,138.0,5,15,1,5.3,aspen_/_snowmass,,138.0,4,colorado,336.0,5517.0,658.0,colorado,12510,9,10.0,40,3,3,4406,72.0,0.0
158.0,158.0,300.0,9712,164.0,4,4,2,1.7,copper_mountain_resort,,164.0,0,colorado,150.0,2527.0,364.0,colorado,12313,9,6.0,24,1,4,2738,47.0,0.0
89.0,89.0,260.0,8793,130.0,3,2,1,1.3,purgatory,,130.0,0,colorado,101.0,1605.0,250.0,colorado,10822,3,9.0,12,0,3,2029,54.0,0.0
25.0,25.0,150.0,6696,100.0,1,0,0,6.0,howelsen_hill,10.0,100.0,0,colorado,17.0,50.0,25.0,colorado,7136,3,1.0,4,0,0,440,104.0,0.0
79.0,79.0,422.0,10800,205.0,2,1,0,2.0,loveland,,184.0,3,colorado,94.0,1800.0,240.0,colorado,13010,1,1.0,10,0,3,2210,82.0,0.0
89.0,89.0,350.0,10790,143.0,4,0,0,1.0,monarch_mountain,,136.0,1,colorado,64.0,800.0,,colorado,11952,2,2.0,7,0,0,1162,80.0,0.0
71.0,71.0,250.0,8200,111.0,2,1,0,1.5,powderhorn,,110.0,0,colorado,42.0,1600.0,42.0,colorado,9850,2,2.0,5,0,0,1650,53.0,0.0
79.0,79.0,400.0,10400,175.0,1,0,0,1.5,silverton_mountain,,181.0,0,colorado,,1819.0,,colorado,13487,0,,1,0,0,3087,17.0,0.0
56.0,56.0,260.0,10500,130.0,1,0,0,1.0,cooper,,130.0,0,colorado,41.0,400.0,,colorado,11700,2,1.0,4,0,1,1200,74.0,0.0
84.0,84.0,220.0,8202,116.0,1,2,0,0.6,ski_granby_ranch,100.0,92.0,0,colorado,40.0,406.0,170.0,colorado,9202,1,1.0,5,0,1,1000,36.0,0.0
65.0,65.0,250.0,7885,100.0,2,0,0,2.5,sunlight_mountain_resort,,135.0,0,colorado,67.0,680.0,30.0,colorado,9895,0,1.0,3,0,1,2010,53.0,0.0
139.0,139.0,280.0,8725,131.0,2,6,0,4.6,telluride,,137.0,1,colorado,148.0,2000.0,220.0,colorado,13150,4,3.0,17,2,2,4425,47.0,0.0
72.0,72.0,430.0,10300,130.0,1,3,0,2.0,wolf_creek_ski_area,,150.0,1,colorado,120.0,1600.0,5.0,colorado,11904,3,,10,0,2,1604,80.0,0.0
30.0,65.0,92.0,950,,0,0,0,1.5,mohawk_mountain,64.0,110.0,0,connecticut,25.0,107.0,100.0,connecticut,1600,3,,8,0,5,650,72.0,35.0
60.0,60.0,80.0,100,63.0,2,0,0,0.3,mount_southington_ski_area,51.0,95.0,0,connecticut,14.0,51.0,51.0,connecticut,525,3,2.0,7,0,2,425,55.0,0.0
45.0,55.0,80.0,170,80.0,2,0,0,0.5,powder_ridge_park,40.0,100.0,0,connecticut,19.0,80.0,68.0,connecticut,720,2,4.0,5,0,1,550,60.0,10.0
62.0,62.0,45.0,450,84.0,0,0,0,1.0,ski_sundown,66.0,95.0,0,connecticut,16.0,70.0,70.0,connecticut,1075,2,2.0,5,0,3,625,50.0,0.0
42.0,42.0,70.0,430,126.0,1,0,0,0.2,woodbury_ski_area,35.0,180.0,0,connecticut,12.0,50.0,50.0,connecticut,730,4,2.0,5,0,0,300,57.0,0.0
64.0,64.0,250.0,5800,134.0,3,3,0,1.5,bogus_basin,165.0,130.0,0,idaho,91.0,2600.0,,idaho,7582,4,3.0,11,0,1,1800,77.0,0.0
70.0,70.0,320.0,5840,126.0,0,1,0,3.2,brundage_mountain_resort,,,0,idaho,51.0,1920.0,2.0,idaho,7640,1,2.0,6,0,4,1800,58.0,0.0
44.0,47.0,400.0,4500,113.0,3,0,0,1.5,lookout_pass_ski_area,,140.0,0,idaho,35.0,540.0,,idaho,5650,0,2.0,4,0,1,1150,84.0,3.0
32.0,32.0,180.0,6500,65.0,1,0,0,1.5,magic_mountain_ski_area,,70.0,0,idaho,11.0,280.0,,idaho,7200,2,,3,0,0,700,81.0,0.0
47.0,47.0,250.0,6360,85.0,0,0,0,1.3,pebble_creek_ski_area,30.0,91.0,0,idaho,54.0,1100.0,30.0,idaho,8560,0,2.0,3,0,3,2200,70.0,0.0
81.0,81.0,300.0,4000,136.0,3,2,1,2.1,schweitzer,100.0,,0,idaho,92.0,2900.0,47.0,idaho,6400,2,3.0,9,0,1,2400,56.0,0.0
57.0,62.0,300.0,4100,130.0,2,0,0,2.5,silver_mountain,20.0,193.0,1,idaho,80.0,1600.0,225.0,idaho,6300,1,2.0,7,1,2,2200,29.0,5.0
43.0,43.0,,5800,60.0,2,0,0,0.4,soldier_mountain_ski_area,,,0,idaho,36.0,1142.0,,idaho,7200,1,,3,0,0,1400,71.0,0.0
71.0,71.0,300.0,4900,,0,2,0,1.5,tamarack_resort,,150.0,2,idaho,48.0,1020.0,200.0,idaho,7700,2,3.0,6,0,0,2800,15.0,0.0
40.0,55.0,50.0,565,87.0,0,0,0,0.2,chestnut_mountain_resort,139.0,112.0,2,illinois,22.0,139.0,139.0,illinois,1040,3,3.0,9,0,4,475,60.0,15.0
25.0,35.0,38.0,528,56.0,2,0,0,0.8,ski_snowstar_winter_sports_park,28.0,86.0,2,illinois,15.0,28.0,28.0,illinois,790,2,1.0,6,0,0,262,38.0,10.0
40.0,40.0,25.0,320,,0,0,0,0.1,villa_olivia,15.0,70.0,1,illinois,7.0,15.0,15.0,illinois,500,6,1.0,7,0,0,180,53.0,0.0
38.0,45.0,18.0,600,75.0,1,1,0,0.4,paoli_peaks,65.0,80.0,1,indiana,15.0,65.0,65.0,indiana,900,2,2.0,8,0,3,300,41.0,7.0
52.0,52.0,24.0,400,82.0,0,0,0,1.0,perfect_north_slopes,100.0,90.0,2,indiana,23.0,100.0,100.0,indiana,800,6,2.0,11,0,3,400,39.0,0.0
29.0,39.0,30.0,1200,,1,0,0,0.2,mt._crescent_ski_area,50.0,,1,iowa,11.0,50.0,50.0,iowa,1500,0,1.0,2,0,0,300,58.0,10.0
40.0,40.0,40.0,800,100.0,0,0,0,1.0,seven_oaks,35.0,100.0,0,iowa,11.0,35.0,35.0,iowa,975,2,2.0,4,0,2,275,22.0,0.0
38.0,46.0,45.0,584,,2,0,0,0.6,sundown_mountain,55.0,,1,iowa,21.0,55.0,55.0,iowa,1059,2,2.0,6,0,1,475,46.0,8.0
30.0,30.0,,1750,67.0,0,0,0,0.8,big_squaw_mountain_ski_resort,,58.0,0,maine,29.0,,,maine,3200,0,,1,0,1,660,6.0,0.0
33.0,43.0,69.0,150,68.0,1,0,0,1.0,camden_snow_bowl,48.0,70.0,0,maine,26.0,100.0,48.0,maine,1080,1,2.0,3,0,1,850,83.0,10.0
29.0,55.0,50.0,255,87.0,2,0,0,0.3,lost_valley,45.0,104.0,0,maine,22.0,45.0,45.0,maine,495,2,2.0,4,0,0,240,58.0,26.0
29.0,49.0,125.0,1050,120.0,2,0,0,0.5,mt._abram_ski_resort,,120.0,0,maine,54.0,640.0,175.0,maine,2250,3,1.0,5,0,0,1150,59.0,20.0
32.0,32.0,90.0,100,102.0,1,0,0,1.9,new_hermon_mountain,45.0,117.0,0,maine,20.0,70.0,70.0,maine,450,2,,3,0,0,350,55.0,0.0
55.0,75.0,110.0,600,97.0,1,0,0,0.8,shawnee_peak,110.0,103.0,1,maine,43.0,239.0,234.0,maine,1900,2,3.0,6,0,2,1350,81.0,20.0
99.0,99.0,200.0,1417,159.0,5,2,0,3.5,sugarloaf,,155.0,3,maine,162.0,1240.0,618.0,maine,4237,2,4.0,13,0,1,2820,68.0,0.0
105.0,105.0,167.0,800,165.0,1,4,0,3.0,sunday_river,140.0,169.0,5,maine,135.0,870.0,552.0,maine,3140,1,5.0,15,1,3,2340,60.0,0.0
59.0,79.0,100.0,2415,121.0,0,0,0,1.5,wisp,118.0,120.0,2,maryland,34.0,172.0,118.0,maryland,3115,5,3.0,12,0,5,700,64.0,20.0
48.0,68.0,120.0,540,120.0,1,0,0,2.0,berkshire_east,80.0,120.0,2,massachusetts,47.0,180.0,165.0,massachusetts,1720,2,2.0,6,0,1,1180,68.0,20.0
20.0,45.0,50.0,1035,,3,0,0,0.5,blandford_ski_area,70.0,,0,massachusetts,29.0,132.0,70.0,massachusetts,1685,2,2.0,5,0,0,465,83.0,25.0
40.0,45.0,,326,,1,0,0,,blue_hills_ski_area,,,0,massachusetts,16.0,60.0,60.0,massachusetts,635,3,1.0,4,0,0,309,19.0,5.0
25.0,49.0,83.0,1125,,3,0,0,1.0,bousquet_ski_area,100.0,,0,massachusetts,23.0,200.0,98.0,massachusetts,1875,2,1.0,5,0,0,750,19.0,24.0
37.0,55.0,,1300,,0,0,0,0.3,bradford_ski_area,,,0,massachusetts,15.0,48.0,48.0,massachusetts,1548,8,1.0,10,0,2,248,71.0,18.0
