adult_weekday,adult_weekend,average_snowfall,base_elev,daysopenlast_year,double,fast_quads,fast_sixes,longest_run_mi,name,night_skiing_ac,projecteddays_open,quad,region,runs,skiable_terrain_ac,snow_making_ac,state,summit_elev,surface,terrain_parks_resort,total_chairs,trams,triple,vertical_drop,years_open,price_delta,resort_cnt,skiable_area_ac,days_open,terrain_parks_state,nightskiing_ac,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
65.0,85.0,669.0,250,150.0,0,2,0,1.0,alyeska_resort,550.0,150.0,2,alaska,76.0,1610.0,113.0,alaska,3939,2,2.0,7,1,0,2500,60.0,20.0,3,2280.0,345.0,4.0,580.0,0.4100909718472548,0.45086746901037594,0.706140350877193,0.43478260869565216,0.5,0.9482758620689655,0.09210526315789473,0.004347826086956522,0.02631578947368421,0.0012422360248447205
47.0,53.0,350.0,1200,45.0,4,0,0,2.0,eaglecrest_ski_area,,90.0,0,alaska,36.0,640.0,60.0,alaska,2600,0,1.0,4,0,0,1540,44.0,6.0,3,2280.0,345.0,4.0,580.0,0.4100909718472548,0.45086746901037594,0.2807017543859649,0.13043478260869565,0.25,,0.1111111111111111,0.00625,0.0,0.0
30.0,34.0,69.0,1796,150.0,0,0,0,1.0,hilltop_ski_area,30.0,152.0,0,alaska,13.0,30.0,30.0,alaska,2090,2,1.0,3,0,1,294,36.0,4.0,3,2280.0,345.0,4.0,580.0,0.4100909718472548,0.45086746901037594,0.013157894736842105,0.43478260869565216,0.25,0.05172413793103448,0.23076923076923078,0.1,0.0,0.0
89.0,89.0,260.0,9200,122.0,1,0,1,2.0,arizona_snowbowl,,122.0,2,arizona,55.0,777.0,104.0,arizona,11500,2,4.0,8,0,2,2300,81.0,0.0,2,1577.0,237.0,6.0,80.0,0.027477369981550318,1.7545398719185894,0.49270767279644895,0.5147679324894515,0.6666666666666666,,0.14545454545454545,0.010296010296010296,0.0,0.0
74.0,78.0,250.0,9200,115.0,1,1,0,1.2,sunrise_park_resort,80.0,104.0,2,arizona,65.0,800.0,80.0,arizona,11100,0,2.0,7,0,3,1800,49.0,4.0,2,1577.0,237.0,6.0,80.0,0.027477369981550318,1.7545398719185894,0.507292327203551,0.48523206751054854,0.3333333333333333,1.0,0.1076923076923077,0.00875,0.015384615384615385,0.00125
47.0,47.0,300.0,7200,110.0,3,0,0,0.4,yosemite_ski_&_snowboard_area,,107.0,0,northern_california,10.0,88.0,,california,7800,1,2.0,5,0,1,600,84.0,0.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.0033913981809773393,0.04017531044558072,0.024691358024691357,,0.5,0.056818181818181816,0.0,0.0
78.0,78.0,350.0,6600,,5,0,0,2.0,dodge_ridge,,140.0,1,sierra_nevada,67.0,862.0,,california,8200,4,5.0,12,0,2,1600,69.0,0.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.033220286727300756,,0.06172839506172839,,0.1791044776119403,0.013921113689095127,0.0,0.0
75.0,75.0,400.0,7031,163.0,5,0,0,1.5,donner_ski_ranch,,170.0,0,sierra_nevada,52.0,505.0,60.0,california,8012,2,2.0,8,0,1,750,82.0,0.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.019462000924926778,0.059532505478451424,0.024691358024691357,,0.15384615384615385,0.015841584158415842,0.0,0.0
149.0,159.0,400.0,7953,243.0,4,9,2,3.0,mammoth_mountain_ski_area,,,1,sierra_nevada,154.0,3500.0,700.0,california,11053,0,7.0,25,3,6,3100,66.0,10.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.1348851549252351,0.0887509130752374,0.08641975308641975,,0.16233766233766234,0.007142857142857143,0.05844155844155844,0.0025714285714285713
49.0,59.0,300.0,5500,140.0,0,0,0,1.1,mt._shasta_ski_park,,130.0,0,sierra_nevada,32.0,425.0,225.0,california,6890,1,2.0,4,0,3,1435,34.0,10.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.016378911669492832,0.05113221329437546,0.024691358024691357,,0.125,0.009411764705882352,0.0,0.0
84.0,84.0,108.0,6600,118.0,5,2,0,1.6,mountain_high,73.0,150.0,2,sierra_nevada,59.0,290.0,275.0,california,8200,3,1.0,14,0,2,1600,95.0,0.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.01117619855094805,0.04309715120525932,0.012345679012345678,0.12436115843270869,0.23728813559322035,0.04827586206896552,0.03389830508474576,0.006896551724137931
69.0,69.0,178.0,6500,175.0,4,0,0,2.5,mt._baldy,,200.0,0,sierra_nevada,26.0,400.0,80.0,california,8600,0,,4,0,0,2100,67.0,0.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.015415446277169724,0.06391526661796933,,,0.15384615384615385,0.01,0.0,0.0
83.0,83.0,300.0,7030,140.0,2,0,0,2.2,ski_china_peak,,144.0,1,sierra_nevada,45.0,1400.0,150.0,california,8709,4,1.0,11,0,4,1679,62.0,0.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.05395406197009404,0.05113221329437546,0.012345679012345678,,0.24444444444444444,0.007857142857142858,0.0,0.0
69.0,79.0,160.0,6800,111.0,6,0,0,1.2,snow_valley,164.0,143.0,0,sierra_nevada,28.0,240.0,188.0,california,7841,1,6.0,12,0,5,1041,82.0,10.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.009249267766301835,0.04054054054054054,0.07407407407407407,0.27938671209540034,0.42857142857142855,0.05,0.0,0.0
